test_code,model,baseline_label,baseline_index,variable,hr,ci_lower,ci_upper,n
,bayesian,3,3,mu,0.9500397579029763,0.8978884619948222,1.0052201134104235,21975
,bayesian,3,3,cv,1.276331760787273,1.200222529184669,1.357267276678236,21975
NONHDL,bayesian,3,3,mu,0.6894815581363599,0.625956696290476,0.7594532047142439,10703
NONHDL,bayesian,3,3,cv,1.171763514122682,1.0812017272235015,1.2699107839524468,10703
P,bayesian,3,3,mu,1.2408030720489531,1.0503104872472226,1.465844892819517,1359
P,bayesian,3,3,cv,1.0648310090408806,0.900239009946757,1.2595156011758255,1359
PLT,bayesian,3,3,mu,0.9858437491715226,0.9200935336025888,1.0562924988453906,15353
PLT,bayesian,3,3,cv,1.4251860012250477,1.3445397333065858,1.5106694787610944,15353
PROINR,bayesian,3,3,mu,1.2393454665946138,1.0369996924172022,1.4811741959038809,794
PROINR,bayesian,3,3,cv,1.1620178240939896,0.9494749549024564,1.422139063848031,794
PROPAT,bayesian,3,3,mu,1.2433447910900135,1.0341710586591233,1.4948264666534452,761
PROPAT,bayesian,3,3,cv,1.1354527630542477,0.9397603939990318,1.3718954164915078,761
RBC,bayesian,3,3,mu,0.8748351052060883,0.7960194331875161,0.9614544939390436,14337
RBC,bayesian,3,3,cv,1.6317029100814051,1.5000997521209134,1.7748515610404043,14337
RDWCV,bayesian,3,3,mu,1.553334169975808,1.4399553232932074,1.6756402122922829,14628
RDWCV,bayesian,3,3,cv,1.3970457819413398,1.302838464073566,1.498065163610247,14628
TNEUT,bayesian,3,3,mu,1.3933090352322972,1.29729974110541,1.4964236915716898,10103
TNEUT,bayesian,3,3,cv,0.9689894351304108,0.8955972821424505,1.0483959075313585,10103
TP,bayesian,3,3,mu,1.007851777668792,0.9457407376233976,1.0740419285550864,17280
TP,bayesian,3,3,cv,1.2301846467525714,1.1552231012102974,1.3100103897855289,17280
TRIG,bayesian,3,3,mu,1.0472129837238031,0.9429672043833156,1.1629832174247292,8709
TRIG,bayesian,3,3,cv,0.908266030769218,0.8144973672698349,1.012829771831507,8709
TSH,bayesian,3,3,mu,1.0992049931191556,0.995297925706542,1.2139597458121594,5814
TSH,bayesian,3,3,cv,1.127275356659127,1.019962073249827,1.2458793940073376,5814
VITDT,bayesian,3,3,mu,1.1466161041649614,0.9753243088821072,1.3479911024029978,2537
VITDT,bayesian,3,3,cv,1.1022142736392224,0.9397348772414428,1.2927862256004197,2537
WBC,bayesian,3,3,mu,1.166360901687545,1.0946635638129956,1.2427542104779357,14798
WBC,bayesian,3,3,cv,1.0549461062083176,0.9890060430207096,1.1252825954479906,14798
A1C,bayesian,4,4,mu,1.154183586759426,0.8561098254003557,1.5560383871565593,789
A1C,bayesian,4,4,cv,1.3011061598346856,1.0208435570839756,1.6583121159087697,789
ALB,bayesian,4,4,mu,0.563626420087907,0.5339892768319078,0.5949084657763817,21233
ALB,bayesian,4,4,cv,1.2576951764427695,1.1985585927883782,1.3197495444652798,21233
ALK,bayesian,4,4,mu,1.3681068167197774,1.315114825250416,1.4232340979037492,21092
ALK,bayesian,4,4,cv,1.361623116488334,1.305729347512597,1.4199095048964705,21092
ALT,bayesian,4,4,mu,0.7640300520507453,0.7149942124660509,0.8164288748902027,19699
ALT,bayesian,4,4,cv,1.3432716409133427,1.2867246359704476,1.4023036870831047,19699
AST,bayesian,4,4,mu,0.9067661172917296,0.8579336510596854,0.9583780639129136,19124
AST,bayesian,4,4,cv,1.3091518692622652,1.2421413653986413,1.3797774267366478,19124
BIL,bayesian,4,4,mu,0.9473002638927877,0.8977261792460741,0.9996119203351944,20369
BIL,bayesian,4,4,cv,1.1170149299647458,1.0614081191322946,1.175534962728723,20369
BILD,bayesian,4,4,mu,1.231223281239143,1.0706103518822212,1.4159313569126115,1525
BILD,bayesian,4,4,cv,1.0782370553740266,0.9242504542944212,1.2578789030395274,1525
BUN,bayesian,4,4,mu,1.2665047922861374,1.1890099907686384,1.3490503875806965,22904
